,time,expect,testMAE,max_trainMAE,anomaly
53005,785.895803,15.085590645972502,17.738825242162804,0.3,True
53006,785.895839,15.545686897646178,17.707185816427646,0.3,True
53007,785.896218,15.675088968429401,17.65352933231128,0.3,True
53008,787.361724,15.085590645972502,17.745277359260058,0.3,True
53009,787.40775,15.545686897646178,17.841772799656386,0.3,True
53010,787.410227,15.545686897646178,17.94929505377252,0.3,True
53011,787.410345,18.076216281851423,17.932745504302662,0.3,True
53012,787.410464,16.969109676261628,18.048682968035852,0.3,True
53013,787.410871,15.545686897646178,18.08473470653183,0.3,True
53014,787.411223,14.214694169590173,17.810758426994617,0.3,True
53015,787.414152,13.734057906681057,17.54770203947484,0.3,True
53016,787.414309,13.820325953869869,17.2911705904492,0.3,True
53017,787.41444,19.98232932449953,17.27834323880487,0.3,True
53018,787.414506,19.98232932449953,17.587656103757617,0.3,True
53019,787.414891,19.98232932449953,17.945383558029654,0.3,True
53020,788.825883,18.83955779031003,18.208913152044556,0.3,True
53021,788.869662,18.83955779031003,18.455573049361863,0.3,True
53022,788.871552,19.98232932449953,18.673923473501894,0.3,True
53023,788.871672,19.98232932449953,18.94908674976778,0.3,True
53024,788.87182,18.83955779031003,19.26895956817898,0.3,True
53025,788.871916,19.98232932449953,19.493222979710165,0.3,True
53026,788.87236,19.98232932449953,19.781551191455126,0.3,True
53027,788.872688,19.98232932449953,19.90491765160729,0.3,True
53028,788.872911,19.98232932449953,20.102004021177112,0.3,True
53029,788.873081,19.98232932449953,20.39392150542115,0.3,True
53030,788.87318,18.83955779031003,20.775944175543565,0.3,True
53031,788.873191,18.83955779031003,21.122957992121236,0.3,True
53032,788.873788,18.83955779031003,21.462841322283733,0.3,True
53033,788.873928,19.98232932449953,21.391931190877948,0.3,True
53034,788.874133,19.98232932449953,21.38442353287319,0.3,True
53035,788.874237,19.98232932449953,21.381747268428203,0.3,True
53036,788.874471,18.83955779031003,21.45538914428233,0.3,True
53037,788.875032,19.98232932449953,21.46186522867361,0.3,True
53038,788.875132,18.651336596443524,21.456528347989707,0.3,True
53039,788.87522,19.98232932449953,21.377503641733217,0.3,True
53040,788.875871,18.651336596443524,21.446489393472355,0.3,True
53041,788.87607,18.651336596443524,21.36746627667306,0.3,True
53042,788.876267,19.98232932449953,21.283963497296455,0.3,True
53043,788.876671,19.98232932449953,21.27430322946656,0.3,True
53044,788.877077,18.651336596443524,21.27037177862275,0.3,True
53045,788.877156,19.98232932449953,21.189516542199634,0.3,True
